measure,year,crime_code,name_en,level,age,sex,cases,is_age_total,comparable_band,share,rate_per_10000
victims,2019,3,Offences against sexual freedom,1,0-13,U,2,f,f,0.000890,
victims,2019,3,Offences against sexual freedom,1,14-17,M,102,f,t,0.045414,
victims,2019,3,Offences against sexual freedom,1,14-17,F,453,f,t,0.201692,
victims,2019,3,Offences against sexual freedom,1,14-17,U,0,f,t,0.000000,
victims,2019,3,Offences against sexual freedom,1,18-30,M,71,f,t,0.031612,
victims,2019,3,Offences against sexual freedom,1,18-30,F,663,f,t,0.295191,
victims,2019,3,Offences against sexual freedom,1,18-30,U,0,f,t,0.000000,
victims,2019,3,Offences against sexual freedom,1,31-40,M,26,f,t,0.011576,
victims,2019,3,Offences against sexual freedom,1,31-40,F,224,f,t,0.099733,
victims,2019,3,Offences against sexual freedom,1,31-40,U,1,f,t,0.000445,
victims,2019,3,Offences against sexual freedom,1,41-64,M,21,f,t,0.009350,
victims,2019,3,Offences against sexual freedom,1,41-64,F,170,f,t,0.075690,
victims,2019,3,Offences against sexual freedom,1,41-64,U,0,f,t,0.000000,
victims,2019,3,Offences against sexual freedom,1,65+,M,2,f,t,0.000890,
victims,2019,3,Offences against sexual freedom,1,65+,F,12,f,t,0.005343,
victims,2019,3,Offences against sexual freedom,1,65+,U,0,f,t,0.000000,
victims,2019,3,Offences against sexual freedom,1,U,M,1,f,f,0.000445,
victims,2019,3,Offences against sexual freedom,1,U,F,8,f,f,0.003562,
victims,2019,3,Offences against sexual freedom,1,U,U,0,f,f,0.000000,
victims,2019,3.1,Sexual assault,2,0-13,M,61,f,f,0.044591,
victims,2019,3.1,Sexual assault,2,0-13,F,230,f,f,0.168129,
victims,2019,3.1,Sexual assault,2,0-13,U,0,f,f,0.000000,
victims,2019,3.1,Sexual assault,2,14-17,M,63,f,t,0.046053,
victims,2019,3.1,Sexual assault,2,14-17,F,247,f,t,0.180556,
victims,2019,3.1,Sexual assault,2,14-17,U,0,f,t,0.000000,
victims,2019,3.1,Sexual assault,2,18-30,M,46,f,t,0.033626,
victims,2019,3.1,Sexual assault,2,18-30,F,424,f,t,0.309942,
victims,2019,3.1,Sexual assault,2,18-30,U,0,f,t,0.000000,
victims,2019,3.1,Sexual assault,2,31-40,M,13,f,t,0.009503,
victims,2019,3.1,Sexual assault,2,31-40,F,145,f,t,0.105994,
