ine_code,year,crime_code,crime_count
28047,2022,THEFT,739
28047,2022,VEHICLE_THEFT,17
28047,2022,DRUG_TRAFFICKING,16
28047,2022,OTHER_CONVENTIONAL,1439
28047,2022,CYBERCRIME,576
28047,2022,CYBER_FRAUD,504
28047,2022,CYBER_OTHER,72
28047,2022,TOTAL,3086
28049,2022,CONVENTIONAL,2973
28049,2022,HOM_COMPLETED,0
28049,2022,HOM_ATTEMPTED,2
28049,2022,INJURY,22
28049,2022,KIDNAPPING,0
28049,2022,SEXUAL,21
28049,2022,SEXUAL_PENETRATION,2
28049,2022,SEXUAL_OTHER,19
28049,2022,ROBBERY_VIOLENT,76
28049,2022,BURGLARY,156
28049,2022,BURGLARY_DWELLING,83
28049,2022,THEFT,899
28049,2022,VEHICLE_THEFT,109
28049,2022,DRUG_TRAFFICKING,18
28049,2022,OTHER_CONVENTIONAL,1670
28049,2022,CYBERCRIME,670
28049,2022,CYBER_FRAUD,611
28049,2022,CYBER_OTHER,59
28049,2022,TOTAL,3643
28058,2022,CONVENTIONAL,5089
28058,2022,HOM_COMPLETED,1
28058,2022,HOM_ATTEMPTED,0
28058,2022,INJURY,30
28058,2022,KIDNAPPING,0
28058,2022,SEXUAL,29
28058,2022,SEXUAL_PENETRATION,9
28058,2022,SEXUAL_OTHER,20
28058,2022,ROBBERY_VIOLENT,203
28058,2022,BURGLARY,226
28058,2022,BURGLARY_DWELLING,142
28058,2022,THEFT,1653
28058,2022,VEHICLE_THEFT,229
28058,2022,DRUG_TRAFFICKING,49
28058,2022,OTHER_CONVENTIONAL,2669
28058,2022,CYBERCRIME,1115
28058,2022,CYBER_FRAUD,1059
28058,2022,CYBER_OTHER,56
28058,2022,TOTAL,6204
28061,2022,CONVENTIONAL,1272
28061,2022,HOM_COMPLETED,0
28061,2022,HOM_ATTEMPTED,0
28061,2022,INJURY,35
28061,2022,KIDNAPPING,0
28061,2022,SEXUAL,19
28061,2022,SEXUAL_PENETRATION,0
28061,2022,SEXUAL_OTHER,19
28061,2022,ROBBERY_VIOLENT,18
28061,2022,BURGLARY,90
28061,2022,BURGLARY_DWELLING,86
28061,2022,THEFT,195
28061,2022,VEHICLE_THEFT,4
28061,2022,DRUG_TRAFFICKING,6
28061,2022,OTHER_CONVENTIONAL,905
28061,2022,CYBERCRIME,367
28061,2022,CYBER_FRAUD,309
28061,2022,CYBER_OTHER,58
28061,2022,TOTAL,1639
28065,2022,CONVENTIONAL,7155
28065,2022,HOM_COMPLETED,0
28065,2022,HOM_ATTEMPTED,1
28065,2022,INJURY,27
28065,2022,KIDNAPPING,0
28065,2022,SEXUAL,51
28065,2022,SEXUAL_PENETRATION,11
28065,2022,SEXUAL_OTHER,40
28065,2022,ROBBERY_VIOLENT,282
28065,2022,BURGLARY,231
28065,2022,BURGLARY_DWELLING,155
28065,2022,THEFT,2502
28065,2022,VEHICLE_THEFT,255
28065,2022,DRUG_TRAFFICKING,29
28065,2022,OTHER_CONVENTIONAL,3777
28065,2022,CYBERCRIME,1405
28065,2022,CYBER_FRAUD,1311
28065,2022,CYBER_OTHER,94
28065,2022,TOTAL,8560
28074,2022,CONVENTIONAL,7632
28074,2022,HOM_COMPLETED,0
28074,2022,HOM_ATTEMPTED,0
