year,crime_code,age,sex,count
2020,11,41-64,M,15
2020,11,41-64,F,1
2020,11,65+,M,1
2020,11,65+,F,0
2020,12,14-17,M,7
2020,12,14-17,F,0
2020,12,18-30,M,42
2020,12,18-30,F,16
2020,12,31-40,M,88
2020,12,31-40,F,30
2020,12,41-64,M,201
2020,12,41-64,F,54
2020,12,65+,M,30
2020,12,65+,F,8
2020,TOTAL,14-17,M,3670
2020,TOTAL,14-17,F,754
2020,TOTAL,18-30,M,19378
2020,TOTAL,18-30,F,4463
2020,TOTAL,31-40,M,13974
2020,TOTAL,31-40,F,3433
2020,TOTAL,41-64,M,15087
2020,TOTAL,41-64,F,3603
2020,TOTAL,65+,M,1040
2020,TOTAL,65+,F,307
2021,1,14-17,M,794
2021,1,14-17,F,216
2021,1,18-30,M,4983
2021,1,18-30,F,1142
2021,1,31-40,M,4030
2021,1,31-40,F,902
2021,1,41-64,M,4756
2021,1,41-64,F,943
2021,1,65+,M,320
2021,1,65+,F,37
2021,1.1,14-17,M,18
2021,1.1,14-17,F,1
2021,1.1,18-30,M,59
2021,1.1,18-30,F,7
2021,1.1,31-40,M,25
2021,1.1,31-40,F,1
2021,1.1,41-64,M,46
2021,1.1,41-64,F,4
2021,1.1,65+,M,4
2021,1.1,65+,F,0
2021,1.1.1,14-17,M,5
2021,1.1.1,14-17,F,0
2021,1.1.1,18-30,M,12
2021,1.1.1,18-30,F,3
2021,1.1.1,31-40,M,7
2021,1.1.1,31-40,F,1
2021,1.1.1,41-64,M,20
2021,1.1.1,41-64,F,2
2021,1.1.1,65+,M,3
2021,1.1.1,65+,F,0
2021,1.2,14-17,M,335
2021,1.2,14-17,F,71
2021,1.2,18-30,M,1252
2021,1.2,18-30,F,199
2021,1.2,31-40,M,606
2021,1.2,31-40,F,141
2021,1.2,41-64,M,777
2021,1.2,41-64,F,148
2021,1.2,65+,M,53
2021,1.2,65+,F,12
2021,1.3,14-17,M,285
2021,1.3,14-17,F,137
2021,1.3,18-30,M,3348
2021,1.3,18-30,F,875
2021,1.3,31-40,M,3309
2021,1.3,31-40,F,732
2021,1.3,41-64,M,3863
2021,1.3,41-64,F,771
2021,1.3,65+,M,259
2021,1.3,65+,F,24
2021,1.4,14-17,M,156
2021,1.4,14-17,F,7
2021,1.4,18-30,M,324
2021,1.4,18-30,F,61
2021,1.4,31-40,M,90
2021,1.4,31-40,F,28
2021,1.4,41-64,M,70
2021,1.4,41-64,F,20
2021,1.4,65+,M,4
2021,1.4,65+,F,1
2021,2,14-17,M,295
2021,2,14-17,F,55
2021,2,18-30,M,1262
2021,2,18-30,F,213
